STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Uttar Pradesh,KARANDA,25.488333,83.462736,-5.51,-42.77,1.29
Uttar Pradesh,KARANDA,25.488333,83.462736,-5.5,-42.04,1.93
Uttar Pradesh,GOSANDEPUR - 1,25.464167,83.472989,-5.05,-40.86,-0.47
Uttar Pradesh,GOSANDEPUR - 2,25.464167,83.472989,-5.73,-47.18,-1.31
Uttar Pradesh,SOKANI,25.443611,83.519097,-5.51,-42.63,1.45
Uttar Pradesh,DHARAMARPUR,25.419444,83.532017,-6.09,-39.86,8.88
Uttar Pradesh,DHARAMARPUR,25.419444,83.532017,-3.12,-30.28,-5.33
Uttar Pradesh,SIKANDERPUR,25.490556,83.433472,0.25,-2.46,-4.46
Uttar Pradesh,PG College,25.566,83.56006,-6.36,-47.58,3.3
Uttar Pradesh,Raghopur,25.47075,83.56522,-5.17,-41.83,-0.47
Uttar Pradesh,Mena bada,25.82565,83.43647,-6,-45.7,2.3
Uttar Pradesh,Byepur,25.52778,83.50887,-4.05,-35.64,-3.24
Uttar Pradesh,Sultanpur,25.4027945,83.60091,-5.64,-42.35,2.77
Uttar Pradesh,Jakhania Govind,25.7438,83.36551,-7.36,-52.04,6.84
Uttar Pradesh,Baresar,25.38806,83.54426,-4.31,-34.38,0.1
Uttar Pradesh,Jhotana,25.7473,83.32064,-6.93,-49.65,5.79
Uttar Pradesh,Bhadaura Rly station,25.45186,83.73984,-5.16,-39.72,1.56
Uttar Pradesh,Baraipara,25.68979,83.40636,-5.82,-44.21,2.35
Uttar Pradesh,Budhanpur,25.59,83.45,-5.8,-42.98,3.42
Uttar Pradesh,Matsa,25.48,83.56,-5.23,-38.98,2.86
Uttar Pradesh,Padumpur,25.74435,83.41154,-6.37,-45.3,5.66
Uttar Pradesh,Bhagol,25.64509,83.57836,-6.79,-48.25,6.07
Uttar Pradesh,Deva,25.80415,83.4174,-5.36,-38.45,4.43
Uttar Pradesh,Nagwan,25.60918,83.2419,-4.18,-35.48,-2.04
Uttar Pradesh,laulha,25.62737,83.09732,-6.22,-45.02,4.74
Uttar Pradesh,Lalpur Hari,25.703235,83.43797,-5.1,-40.32,0.48
Uttar Pradesh,Naikdih,25.64077,83.10899,-5.92,-46.21,1.15
Uttar Pradesh,Andhau,25.61,83.56,-6.84,-49.18,5.54
Uttar Pradesh,Tardih,25.62151,83.44864,-4.66,-34.67,2.61
Uttar Pradesh,Ahladpur,25.560775,83.09429,-5.92,-43.97,3.39
Uttar Pradesh,Mahmoodpur,25.67869,83.64083,-6.62,-47.38,5.58
Uttar Pradesh,Augusta,25.59285,83.47261,-5.12,-38.83,2.13
Uttar Pradesh,Akampur,25.60408,83.60801,-6.4,-47.23,3.97
Uttar Pradesh,Khajura,25.6,83.28,-6.21,-45.88,3.8
Uttar Pradesh,Chak Mehtab,25.68,83.38,-6.59,-47.15,5.57
Uttar Pradesh,Mirzapur,25.68,83.2,-4.98,-38.29,1.55
Uttar Pradesh,Sauri,25.68,83.37,-6.44,-47.08,4.44
Uttar Pradesh,PG College,25.566,83.56006,-6.41,-43.05,8.23
Uttar Pradesh,Raghopur,25.47075,83.56522,-5.63,-42.49,2.55
Uttar Pradesh,Mena bada,25.82565,83.43647,-6.8,-48,6.4
Uttar Pradesh,Byepur,25.52778,83.50887,-6.09,-40.33,8.39
Uttar Pradesh,Sultanpur,25.4027945,83.60091,-5.44,-41.74,1.78
Uttar Pradesh,Jakhania Govind,25.7438,83.36551,-5.44,-39.08,4.44
Uttar Pradesh,Baresar,25.38806,83.54426,-5.05,-38.96,1.44
Uttar Pradesh,Jhotana,25.7473,83.32064,-6.68,-44.82,8.62
Uttar Pradesh,Bhadaura Rly station,25.45186,83.73984,-6.28,-44.84,5.4
Uttar Pradesh,Baraipara,25.68979,83.40636,-7.05,-45.11,11.29
Uttar Pradesh,Budhanpur,25.59,83.45,-7.15,-46.09,11.11
Uttar Pradesh,Matsa,25.48,83.56,-6.28,-41.25,8.99
Uttar Pradesh,Padumpur,25.74435,83.41154,-7.22,-45.15,12.61
Uttar Pradesh,Bhagol,25.64509,83.57836,-7.3,-45.93,12.47
Uttar Pradesh,Deva,25.80415,83.4174,-7.58,-46.68,13.96
Uttar Pradesh,Nagwan,25.60918,83.2419,-5.95,-44.64,2.96
Uttar Pradesh,laulha,25.62737,83.09732,-4.59,-34.22,2.5
Uttar Pradesh,Lalpur Hari,25.703235,83.43797,-6.5,-45.94,6.06
Uttar Pradesh,Naikdih,25.64077,83.10899,-4.31,-32.58,1.9
Uttar Pradesh,Andhau,25.61,83.56,-6.37,-46.82,4.14
Uttar Pradesh,Tardih,25.62151,83.44864,-6.39,-44.71,6.41
Uttar Pradesh,Ahladpur,25.560775,83.09429,-4.88,-34.45,4.59
Uttar Pradesh,Mahmoodpur,25.67869,83.64083,-6.71,-47.12,6.56
Uttar Pradesh,Augusta,25.59285,83.47261,-6.24,-43.67,6.25
Uttar Pradesh,Akampur,25.60408,83.60801,-6.47,-45.09,6.67
Uttar Pradesh,Khajura,25.6,83.28,-5.63,-40.95,4.09
Uttar Pradesh,Chak Mehtab,25.68,83.38,-5.6,-37.47,7.33
Uttar Pradesh,Mirzapur,25.68,83.2,-5.64,-42.45,2.67
Uttar Pradesh,Sauri,25.61,83.37,-5.96,-42.87,4.81
Uttar Pradesh,Chillar,25.58137,83.424263,-6.47,-43.77,7.99
Uttar Pradesh,Sarai Gokul,25.33412,83.60597,-6.49,-48.01,3.91
Uttar Pradesh,Tokva,25.42,83.65,-5.69,-43.02,2.5
Uttar Pradesh,Kauda,25.5667,83.289,-6.2,-44.54,5.06
Uttar Pradesh,Sevrai,25.56,83.21,-3.55,-31.56,-3.16
Uttar Pradesh,Tajpur Manza,25.5841,83.3323,-6.2,-45.18,4.42
Uttar Pradesh,Pathra,25.5057192,83.85344,-6.39,-45.96,5.16
Uttar Pradesh,Hakimpur Barthi,25.536318,83.183755,-5.99,-41.08,6.84
Uttar Pradesh,Devri,25.39451,83.71458,-5.33,-39.19,3.45
Uttar Pradesh,Raisenpur,25.59817,83.22488,-4.97,-36.03,3.73
Uttar Pradesh,Bhitari,25.77902,83.4466,-6.3,-45.41,4.99
Uttar Pradesh,Ramremalikpur,25.642105,83.482895,-4.49,-31.8,4.12
Uttar Pradesh,Rasulpur-Pachrasi,25.55621,83.17225,-5.68,-40.72,4.72
Uttar Pradesh,Sadibadi (Patna),25.64,83.53,-4.31,-31.33,3.15
Uttar Pradesh,Khazuri,25.5,83.56,-5.26,-40.35,1.73
Uttar Pradesh,Hiradharpur,25.41752,83.79533,-6.89,-50.26,4.86
Uttar Pradesh,Jamsara,25.7808,83.4712,-6.56,-46.04,6.44
Uttar Pradesh,Sarai Gokul,25.41752,83.79533,-6.38,-45.18,5.86
Uttar Pradesh,Bhadaila,25.35215,83.64424,-4.02,-30.02,2.14
Uttar Pradesh,Karahiyan,25.836671,83.463845,-6.05,-44.38,4.02
Uttar Pradesh,Shadatpur,25.48661,83.583984,-6.19,-45.28,4.24
Uttar Pradesh,Pah Sayadraja,25.5,83.56,-5.51,-44.15,-0.07
Uttar Pradesh,Kothia,25.44336,83.74824,-6.74,-47.99,5.93
Uttar Pradesh,Lahana,25.37754,83.58882,-6.48,-47.86,3.98
Uttar Pradesh,Karmahari,25.6688,83.24642,-5.37,-39.13,3.83
Uttar Pradesh,Hardaspur Kalan,25.44336,83.74824,-6.63,-49.27,3.77
Uttar Pradesh,Betawar,25.46,83.57,-6.12,-44.05,4.91
Uttar Pradesh,Davetha,25.56013,83.58621,-6.1,-45.43,3.37
Uttar Pradesh,Sevrai,25.49968,83.773676,-5.95,-44.45,3.15
Uttar Pradesh,Sauban,25.518417,83.420598,-6.73,-50.21,3.63
Uttar Pradesh,Suapur,25.492138,83.414697,-7.34,-52.67,6.05
Uttar Pradesh,Sikanderpur,25.489812,83.432678,-5.91,-45.18,2.1
Uttar Pradesh,Karanda,25.488439,83.462742,-5.74,-44.91,1.01
Uttar Pradesh,Damoderpur,25.46225,83.461325,-6.17,-45.55,3.81
Uttar Pradesh,Gosandepur,25.464189,83.472981,-6.39,-47.88,3.24
Uttar Pradesh,Pahadpur,25.437347,83.499754,-6.01,-45.55,2.53
Uttar Pradesh,Sakani,25.443742,83.518936,-6.29,-46.98,3.34
Uttar Pradesh,Dharampur,25.419923,83.532215,-5.4,-42.36,0.84
Uttar Pradesh,Karkatpur,25.410973,83.536669,-6.51,-48.19,3.89
Uttar Pradesh,Tihra,25.710237,83.500865,-5.06,-40.05,0.43
Uttar Pradesh,Barsar,25.717893,83.544447,-6.19,-45.84,3.68
Uttar Pradesh,Sadatpur,25.64514,83.534071,-6.09,-46.2,2.52
Uttar Pradesh,Kondari,25.80833,83.503936,-6.2,-45.92,3.68
Uttar Pradesh,Arakhpur,25.654841,83.600402,-6.75,-49.38,4.62
Uttar Pradesh,Orarae,25.771932,83.462061,-5.69,-44.04,1.48
Uttar Pradesh,"Mustafabad urf
Baragaon",25.801492,83.454598,-5.55,-44.23,0.17
Uttar Pradesh,Kothiya,25.782524,83.473933,-2.82,-27.39,-4.83
